Municipality,individual_prod_num,individual_prod_autonomous,individual_prod_in_business,educ_cannot_read_write,educ_can_read_write,educ_basic_1st_cycle,educ_basic_2nd_cycle,educ_basic_3rd_cycle,educ_secondary_agr,educ_secondary_not_agr,educ_polyt_or_superior_agr,educ_polyt_or_superior_not_agr,prof_only_practical,prof_short,prof_long,prof_short_and_long,prof_complete,agr_time_partial,agr_time_full,ext_imp_principal,ext_imp_secondary,ext_sit_employer,ext_sit_self_employed,ext_sit_employed_by_others,ext_sit_in_family
Cantanhede,4447.0,0.969417584888689,0.030582415111310997,0.07173375309197212,0.19631212053069486,0.5873622666966495,0.08342702945806162,0.025185518326961996,0.00022487069934787497,0.013717112660220373,0.0031481897908702495,0.0188891387452215,0.9480548684506409,0.02990780301326737,0.00944456937261075,0.009219698673262874,0.0033730604902181245,0.7476950753316843,0.2523049246683157,0.34067910951203056,0.021812457836743872,0.0350798290982685,0.07713064987632111,0.24061164830222623,0.0
Coimbra,2724.0,0.9662261380323054,0.033773861967694566,0.06864904552129222,0.1299559471365639,0.591042584434655,0.07966226138032305,0.06571218795888399,0.0003671071953010279,0.031938325991189426,0.003303964757709251,0.02936857562408223,0.9500734214390602,0.028634361233480177,0.012848751835535976,0.0047723935389133625,0.003671071953010279,0.7268722466960352,0.27312775330396477,0.35462555066079293,0.0047723935389133625,0.035609397944199705,0.051762114537444934,0.26798825256975034,0.0
Condeixa-a-Nova,1164.0,0.988831615120275,0.011168384879725086,0.08676975945017182,0.20876288659793815,0.5781786941580757,0.05154639175257732,0.03608247422680412,0.001718213058419244,0.020618556701030927,0.002577319587628866,0.013745704467353952,0.9639175257731959,0.02577319587628866,0.005154639175257732,0.000859106529209622,0.00429553264604811,0.929553264604811,0.070446735395189,0.3393470790378007,0.002577319587628866,0.028350515463917526,0.06099656357388316,0.24914089347079038,0.000859106529209622
Figueira da Foz,2154.0,0.9693593314763231,0.03064066852367688,0.10074280408542247,0.2214484679665738,0.5241411327762303,0.0807799442896936,0.04549675023212628,0.00046425255338904364,0.017641597028783658,0.001392757660167131,0.007892293407613741,0.9136490250696379,0.05153203342618384,0.02414113277623027,0.008820798514391829,0.0018570102135561746,0.6220984215413184,0.3779015784586815,0.27948003714020425,0.01160631383472609,0.028319405756731662,0.04410399257195915,0.2149489322191272,0.0
Mira,920.0,0.9804347826086957,0.01956521739130435,0.09347826086956522,0.21304347826086956,0.5739130434782609,0.08260869565217391,0.017391304347826087,0.002173913043478261,0.010869565217391304,0.0,0.006521739130434782,0.9739130434782609,0.005434782608695652,0.009782608695652175,0.008695652173913044,0.002173913043478261,0.6663043478260869,0.33369565217391306,0.27608695652173915,0.01956521739130435,0.03260869565217391,0.08478260869565217,0.175,0.0
Montemor-o-Velho,2869.0,0.9581735796444755,0.04182642035552457,0.07145346810735448,0.17811084001394215,0.582084349947717,0.10352039037992332,0.039735099337748346,0.0006971070059254096,0.011502265597769257,0.0020913210177762286,0.010805158591843849,0.9257581038689439,0.034158243290345065,0.025444405716277447,0.011850819100731963,0.0027884280237016382,0.6570233530846985,0.3429766469153015,0.2757058208434995,0.0038340885325897525,0.01742767514813524,0.03276402927849425,0.22446845590798187,0.0
Penacova,827.0,0.9939540507859734,0.006045949214026602,0.05078597339782346,0.28174123337363965,0.6094316807738815,0.03869407496977025,0.013301088270858524,0.0,0.0024183796856106408,0.0,0.0036275695284159614,0.9951632406287787,0.0,0.0048367593712212815,0.0,0.0,0.9032648125755743,0.09673518742442563,0.3675937122128174,0.0012091898428053204,0.05562273276904474,0.09552599758162031,0.21160822249093109,0.0
Soure,2281.0,0.9868478737395879,0.0131521262604121,0.13941253836036827,0.21613327487943884,0.5186321788689171,0.06356861025865848,0.04164839982463832,0.0008768084173608067,0.01183691363437089,0.0021920210434020165,0.005699254712845244,0.9798334064007015,0.00789127575624726,0.0070144673388864535,0.0021920210434020165,0.003068829460762823,0.90223586146427,0.09776413853572995,0.31521262604121,0.00263042525208242,0.016659359929855327,0.04690925032880316,0.2516440157825515,0.0
Batalha,1048.0,0.958969465648855,0.04103053435114504,0.1450381679389313,0.1898854961832061,0.583969465648855,0.04770992366412214,0.01812977099236641,0.0,0.011450381679389313,0.0009541984732824427,0.0028625954198473282,0.9188931297709924,0.05629770992366412,0.015267175572519083,0.008587786259541985,0.0009541984732824427,0.8158396946564885,0.18416030534351144,0.38549618320610685,0.008587786259541985,0.04389312977099236,0.09923664122137404,0.2366412213740458,0.0009541984732824427
Leiria,4648.0,0.9651462994836488,0.034853700516351116,0.10391566265060241,0.15038726333907057,0.6243545611015491,0.06303786574870912,0.03442340791738382,0.0002151462994836489,0.014629948364888123,0.0021514629948364886,0.0068846815834767644,0.9672977624784854,0.016351118760757316,0.008605851979345954,0.005378657487091222,0.0023666092943201377,0.8500430292598967,0.14995697074010328,0.40490533562822717,0.009896729776247849,0.05959552495697074,0.08067986230636832,0.26914802065404475,0.00193631669535284
Marinha Grande,203.0,0.9901477832512315,0.009852216748768473,0.09852216748768473,0.1625615763546798,0.5763546798029556,0.07881773399014778,0.03940886699507389,0.0,0.029556650246305417,0.0,0.014778325123152709,0.9802955665024631,0.019704433497536946,0.0,0.0,0.0,0.9261083743842364,0.07389162561576355,0.4039408866995074,0.0,0.09359605911330049,0.06403940886699508,0.23645320197044334,0.0
Pombal,4750.0,0.9865263157894737,0.013473684210526317,0.1686315789473684,0.2591578947368421,0.49642105263157893,0.046526315789473686,0.016421052631578947,0.0002105263157894737,0.008842105263157894,0.0004210526315789474,0.003368421052631579,0.9717894736842105,0.01663157894736842,0.008210526315789474,0.0027368421052631577,0.0006315789473684211,0.8648421052631579,0.13515789473684212,0.35389473684210526,0.00968421052631579,0.03747368421052632,0.08378947368421052,0.24063157894736842,0.0002105263157894737
Porto de Mós,1513.0,0.9874421678783873,0.01255783212161269,0.13879709187045605,0.1969596827495043,0.565102445472571,0.0495703899537343,0.02775941837409121,0.0006609385327164573,0.01255783212161269,0.0026437541308658294,0.005948446794448116,0.9299405155320555,0.03304692663582287,0.01520158625247852,0.018506278916060808,0.003304692663582287,0.906146728354263,0.09385327164573695,0.3694646397884997,0.01982815598149372,0.09385327164573695,0.08393919365499009,0.2048909451421018,0.0019828155981493722
